Option,Rin,Size,NF,Gain,S11,BW,Input_TLine_Imp,Input_TLine_Len,Input_L,Input_L_Q,Input_L_SRF,Input_L_Geom,Output_L,Output_L_Q,Output_L_SRF,Output_L_Geom,Degen_L,Degen_L_Q,Degen_L_SRF,Degen_L_Geom,DC_Power,CPWD_Length,CPWD_Width,CPWD_Gap,CLoad,Inter_ind_L,Inter_ind_Q,Inter_ind_SRF,Inter_cap,_PWR_mW,_BW_GHz,Score
U,50,11*1um/60nm,4.201368993384636,9.220964413314368,-11.728657998875088,1935046054.0992887,18.0,0.03158166712496977,402.9777901836543,17.94165980705666,77.83687093436136,[22.5    3.5    2.875  2.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],43.483549889642475,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,90.84522545451442,38.42067555990355,155.10483740533508,5e-14,1.76,1.9350460540992886,1999999997.7881105
V,51,11*1um/60nm,4.193639462726061,9.134962695695192,-12.022853598456404,1935046054.0992887,18.0,0.03158166712496977,402.9777901836543,17.94165980705666,77.83687093436136,[22.5    3.5    2.875  2.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],45.40206493572932,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,90.84522545451442,38.42067555990355,155.10483740533508,5e-14,1.76,1.9350460540992886,1999999998.0927138
W,52,11*1um/60nm,4.1870426248703545,9.050631020326565,-12.320885470089596,1935046054.0992887,18.0,0.03158166712496977,402.9777901836543,17.94165980705666,77.83687093436136,[22.5    3.5    2.875  2.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],47.32125931214337,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,90.84522545451442,38.42067555990355,155.10483740533508,5e-14,1.76,1.9350460540992886,1999999998.4053853
Y,54,11*1um/60nm,4.389472574404988,8.88672685844487,-11.195544603840784,1935046054.0992887,18.0,0.03158166712496977,395.74539423126663,14.485360381224579,73.75707667065967,[72.5    3.5    2.875  1.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],51.1618029271914,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,90.84522545451442,38.42067555990355,155.10483740533508,5e-14,1.76,1.9350460540992886,2000000001.413047
Z,55,11*1um/60nm,4.232493446205016,8.807037561732118,-11.345903937204556,1935046054.0992887,18.0,0.03158166712496977,392.81477976688734,15.189879413266413,73.2055150123839,[22.5    5.5    2.875  2.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],53.08321078269318,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,90.84522545451442,38.42067555990355,155.10483740533508,5e-14,1.76,1.9350460540992886,1999999999.7963018
[,56,11*1um/60nm,4.12934679361757,8.72878418661255,-12.031375781865552,1935046054.0992887,18.0,0.03158166712496977,391.7240639857916,20.119273351770328,73.85080944875264,[22.5    3.5    3.125  2.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],55.00541520836864,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,90.84522545451442,38.42067555990355,155.10483740533508,5e-14,1.76,1.9350460540992886,1999999998.9418602
\,57,11*1um/60nm,4.1948250570033645,8.65191589994964,-16.485489643040246,1935046054.0992887,18.0,0.03158166712496977,390.54233299495604,18.448000785528333,79.88086919047863,[25.    3.    3.75  2.  ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],56.92844570768545,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,90.84522545451442,38.42067555990355,155.10483740533508,5e-14,1.76,1.9350460540992886,2000000000.8534384
],58,11*1um/60nm,4.193451725242139,8.576384521045183,-16.769866383039115,1935046054.0992887,18.0,0.030318400439970986,390.54233299495604,18.448000785528333,79.88086919047863,[25.    3.    3.75  2.  ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],58.8523318676972,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,90.84522545451442,38.42067555990355,155.10483740533508,5e-14,1.76,1.9350460540992886,2000000001.1933665
^,59,11*1um/60nm,4.141187922257949,8.502144340253112,-11.045073079416131,1935046054.0992887,18.0,0.03158166712496977,388.6682257106859,18.03988427397717,70.29283149911714,[25.    3.    2.25  2.  ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],60.77710336217342,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,90.84522545451442,38.42067555990355,155.10483740533508,5e-14,1.76,1.9350460540992886,1999999999.84056
